Kunle Afolayan,81165769
Craig Gillespie,70056433
Nick Cassavetes,70113003
Clint Eastwood,60031232
Kunle Afolayan,80032842
Petra Costa,81137482
Roger Allers,70043308
Kunle Afolayan,81165771
Wolfgang Petersen,70044697
Jonathan Demme,70105368
Bernie Denk,81141689
Ivan Reitman,1008581
Greg Mottola,70058023
Kunle Afolayan,81165786
Kunle Afolayan,81165770
Alejandro Agresti,70043303
Daniel Stamm,70136074
Phillip Noyce,1153194
Tony Scott,70112730
Ahmed Zain,81158575
Mohamed Hamdy,81065786
Dennis Dugan,70087541
Peter Ho,81004113
Jordi Llompart,81003984
Rian Johnson,70024088
Olivier Marchal,81005312
Dennis Iliadis,80082969
Qaushiq Mukherjee,80994130
Sudip Bandyopadhyay,81019924
Onir,81018240
Jatla Siddartha,81013710
Jeremy Saulnier,70077076
Kanwal Sethi,81014988
Banjong Pisanthanakun,80102950
Alfonso Cuarón,70055221
Samuel Jouy,81005314
Akiva Goldsman,80242828
Damien Leone,81004223
Karen Moncrieff,80198730
Jean-Pierre Devillers,80999945
Sophon Sakdaphisit,81016043
Curtis Hanson,17672040
Young Jun Lee,81011096
Rajiv Mehra,20254278
Toshiyuki Kubooka,70276596
Toshiyuki Kubooka,80063025
Todd S. Yellin,70068739
Jesse Adang,80184974
Rajiv Mehra,80156941
Elizabeth Chai Vasarhelyi,80061314
Toshiya Shinohara,70052492
Toshiya Shinohara,70036200
Toshiya Shinohara,70018513
Mohammed Hussain,80158480
Eli Craig,80139506
Parambrata Chatterjee,80205314
Shammi Kapoor,80158545
Umesh Mehra,80156939
Masahiko Murata,80152537
Masahiko Murata,80045673
Masahiko Murata,70275937
Hirotsugu Kawasaki,70101321
Toshiyuki Tsuru,70108386
Tensai Okamura,70074559
Florian Schnell,80162197
Josh Izenberg,80184055
Thierry Demaizière,80160358
Spike Lee,60034929
Latif Faiziyev,80157134
Gastón Duprat,80141891
Bette Gordon,80183897
Gary Wang,80177834
Raz Degan,80121855
Israel Adrián Caetano,80168028
Mariano Cohn,80190990
Drew Stone,80173269
Joram Lürsen,80106140
Jelle de Jonge,80106137
Afia Nathaniel,80114155
Luke Jurevicius,80118841
Sean Cisterna,80102579
Will Allen,80097438
Nacho G. Velilla,80114419
David Serrano,80103426
Jay Chapman,70278877
Jenny Gage,80244311
Kaila York,81183570
Ifa Isfansyah,81016328
Stan Lathan,80239503
Angga Dwimas Sasongko,81016321
Evgeny Afineevsky,80031666
Ryan Polito,80995737
