60,0,Movie,Krish Trish and Baltiboy: The Greatest Trick,9/8/2017,2013,TV-Y7,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.",80182621
135,0,Movie,Love,9/8/2017,2015,NR,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,80057969
98,0,Movie,Manhattan Romance,9/8/2017,2014,TV-14,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,80060297
96,0,Movie,Moonwalkers,9/8/2017,2015,R,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",80046728
79,0,Movie,Rolling Papers,9/8/2017,2015,TV-MA,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",80046727
113,0,Movie,Stonehearst Asylum,9/8/2017,2014,PG-13,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",70304988
90,0,Movie,The Runner,9/8/2017,2015,R,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,80057700
80,0,Movie,6 Years,9/8/2015,2015,NR,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",80045922
0,1,TV Show,Castle of Stars,9/7/2018,2015,TV-14,"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",80244601
77,0,Movie,City of Joy,9/7/2018,2018,TV-MA,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",80203094
0,1,TV Show,First and Last,9/7/2018,2018,TV-MA,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,80190843
112,0,Movie,Laddaland,9/7/2018,2011,TV-MA,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",70241607
106,0,Movie,Next Gen,9/7/2018,2018,TV-PG,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",80988892
106,0,Movie,Sierra Burgess Is A Loser,9/7/2018,2018,PG-13,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,80239639
102,0,Movie,The Most Assassinated Woman in the World,9/7/2018,2018,TV-MA,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",80159586
114,0,Movie,Cézanne et moi,9/7/2017,2016,R,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",80152447
0,1,TV Show,Archibald's Next Big Thing,9/6/2019,2019,TV-Y7,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",80221550
125,0,Movie,Article 15,9/6/2019,2019,TV-MA,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,81154455
142,0,Movie,Care of Kancharapalem,9/6/2019,2018,TV-14,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",81113928
133,0,Movie,Ee Nagaraniki Emaindi,9/6/2019,2018,TV-14,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",81052275
100,0,Movie,Kill Me If You Dare,9/6/2019,2019,TV-14,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",81132437
0,1,TV Show,The Spy,9/6/2019,2019,TV-MA,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",80178151
86,0,Movie,Hell and Back,9/6/2018,2015,R,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",80058026
146,0,Movie,PK,9/6/2018,2014,TV-14,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,70303496
79,0,Movie,Hard Tide,9/6/2017,2015,TV-MA,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,80162141
102,0,Movie,Elstree 1976,9/6/2016,2015,TV-PG,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",80095641
10,0,Movie,American Factory: A Conversation with the Obamas,9/5/2019,2019,TV-G,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,81176188
122,0,Movie,ATM,9/5/2018,2012,TV-14,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",80159880
126,0,Movie,Bangkok Traffic (Love) Story,9/5/2018,2009,TV-14,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",81016044
116,0,Movie,I Fine... Thank You... Love You,9/5/2018,2014,TV-14,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",80158838
135,0,Movie,One Day,9/5/2018,2016,TV-PG,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",81016045
125,0,Movie,Phobia 2,9/5/2018,2009,TV-MA,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.",70142798
96,0,Movie,Shutter,9/5/2018,2004,TV-MA,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",70062814
